"Município";"2015";"2016";"2017";"Total"
"431740 Santiago";61;46;40;147
"431750 Santo Ângelo";59;48;52;159
"431760 Santo Antônio da Patrulha";28;16;14;58
"431770 Santo Antônio das Missões";6;5;6;17
"431755 Santo Antônio do Palma";2;-;1;3
"431775 Santo Antônio do Planalto";2;2;5;9
"431780 Santo Augusto";38;47;41;126
"431790 Santo Cristo";21;15;22;58
"431795 Santo Expedito do Sul";4;8;4;16
"431800 São Borja";132;87;105;324
"431805 São Domingos do Sul";2;1;1;4
"431810 São Francisco de Assis";21;11;8;40
"431820 São Francisco de Paula";57;64;59;180
"431830 São Gabriel";119;143;134;396
"431840 São Jerônimo";25;11;12;48
"431842 São João da Urtiga";2;3;3;8
"431843 São João do Polêsine";3;4;8;15
"431844 São Jorge";3;-;-;3
"431845 São José das Missões";3;1;6;10
"431846 São José do Herval";1;4;4;9
"431848 São José do Hortêncio";6;1;2;9
"431849 São José do Inhacorá";1;1;2;4
"431850 São José do Norte";21;11;17;49
"431860 São José do Ouro";18;13;23;54
"431861 São José do Sul";1;-;-;1
"431862 São José dos Ausentes";1;6;5;12
"431870 São Leopoldo";164;196;139;499
"431880 São Lourenço do Sul";70;53;61;184
"431890 São Luiz Gonzaga";42;60;64;166
"431900 São Marcos";70;48;82;200
"431910 São Martinho";16;5;2;23
"431912 São Martinho da Serra";-;1;-;1
"431915 São Miguel das Missões";9;6;14;29
"431920 São Nicolau";-;7;3;10
"431930 São Paulo das Missões";12;14;5;31
"431935 São Pedro da Serra";2;2;-;4
"431936 São Pedro das Missões";-;1;3;4
"431937 São Pedro do Butiá";1;8;4;13
"431940 São Pedro do Sul";11;8;6;25
"431950 São Sebastião do Caí";14;8;19;41
"431960 São Sepé";34;35;30;99
"431970 São Valentim";2;-;1;3
"431971 São Valentim do Sul";1;5;3;9
"431973 São Valério do Sul";5;4;12;21
"431975 São Vendelino";1;3;1;5
"431980 São Vicente do Sul";13;12;14;39
"431990 Sapiranga";40;53;44;137
"432000 Sapucaia do Sul";82;94;61;237
"432010 Sarandi";25;27;30;82
"432020 Seberi";32;27;14;73
"432023 Sede Nova";6;1;3;10
"432026 Segredo";10;14;17;41
"432030 Selbach";10;5;7;22
"432032 Senador Salgado Filho";7;8;2;17
"432035 Sentinela do Sul";4;1;5;10
"432040 Serafina Corrêa";16;11;13;40
"432045 Sério";1;-;1;2
"432050 Sertão";10;6;4;20
"432055 Sertão Santana";2;1;1;4
"432057 Sete de Setembro";5;5;1;11
"432060 Severiano de Almeida";36;12;9;57
"432065 Silveira Martins";4;6;2;12
"432067 Sinimbu";8;10;10;28
"432070 Sobradinho";44;44;55;143
"432080 Soledade";63;26;37;126
"432085 Tabaí";4;1;3;8
"432090 Tapejara";20;29;31;80
"432100 Tapera";37;29;33;99
"432110 Tapes";12;5;7;24
"432120 Taquara";36;30;23;89
"432130 Taquari";40;26;34;100
"432135 Tavares";-;2;2;4
"432140 Tenente Portela";13;5;6;24
"432143 Terra de Areia";5;2;1;8
"432145 Teutônia";21;29;21;71
"432146 Tio Hugo";3;1;3;7
"432147 Tiradentes do Sul";7;4;3;14
"432149 Toropi";5;1;4;10
"432150 Torres";27;21;32;80
"432160 Tramandaí";18;25;17;60
"432162 Travesseiro";6;4;1;11
"432163 Três Arroios";7;4;3;14
"432166 Três Cachoeiras";9;4;7;20
"432170 Três Coroas";44;32;29;105
"432180 Três de Maio";26;27;30;83
"432183 Três Forquilhas";1;1;1;3
"432185 Três Palmeiras";6;6;6;18
"432190 Três Passos";13;31;16;60
"432195 Trindade do Sul";19;9;21;49
"432200 Triunfo";44;32;39;115
"432210 Tucunduva";14;11;16;41
"432215 Tunas";11;10;10;31
"432218 Tupanci do Sul";-;6;9;15
"432220 Tupanciretã";8;14;14;36
"432225 Tupandi";5;2;2;9
"432230 Tuparendi";1;2;9;12
"432232 Turuçu";2;2;3;7
"432234 Ubiretama";2;7;1;10
"432235 União da Serra";1;1;3;5
"432237 Unistalda";-;3;2;5
"432240 Uruguaiana";88;66;53;207
"432250 Vacaria";70;84;84;238
"432253 Vale do Sol";27;10;11;48
"432254 Vale Real";4;1;5;10
"432252 Vale Verde";3;-;1;4
"432255 Vanini";5;1;2;8
"432260 Venâncio Aires";36;35;40;111
"432270 Vera Cruz";25;25;17;67
"432280 Veranópolis";10;13;7;30
"432285 Vespasiano Correa";3;-;-;3
"432290 Viadutos";8;6;2;16
"432300 Viamão";156;145;113;414
"432310 Vicente Dutra";3;4;1;8
"432320 Victor Graeff";3;4;4;11
"432330 Vila Flores";1;-;-;1
"432335 Vila Lângaro";4;3;7;14
"432340 Vila Maria";2;2;4;8
"432345 Vila Nova do Sul";3;2;4;9
"432350 Vista Alegre";2;1;5;8
"432360 Vista Alegre do Prata";2;-;-;2
"432370 Vista Gaúcha";1;-;1;2
"432375 Vitória das Missões";1;5;3;9
"432377 Westfalia";1;2;-;3
"432380 Xangri-lá";5;3;5;13
"500020 Água Clara";2;7;7;16
"500025 Alcinópolis";-;-;1;1
"500060 Amambai";32;16;38;86
"500070 Anastácio";45;55;42;142
"500080 Anaurilândia";14;12;10;36
"500085 Angélica";13;16;10;39
"500090 Antônio João";1;10;6;17
"500100 Aparecida do Taboado";5;14;11;30
"500110 Aquidauana";116;91;102;309
"500124 Aral Moreira";7;6;13;26
"500150 Bandeirantes";4;-;1;5
"500190 Bataguassu";8;6;9;23
"500200 Batayporã";10;12;4;26
"500210 Bela Vista";13;12;24;49
"500215 Bodoquena";1;9;20;30
"500220 Bonito";22;22;19;63
"500230 Brasilândia";5;4;6;15
"500240 Caarapó";24;12;22;58
"500260 Camapuã";12;11;3;26
"500270 Campo Grande";274;285;352;911
"500280 Caracol";2;1;10;13
"500290 Cassilândia";13;10;13;36
"500295 Chapadão do Sul";21;34;12;67
"500310 Corguinho";-;1;-;1
"500315 Coronel Sapucaia";2;10;7;19
"500320 Corumbá";133;121;123;377
"500325 Costa Rica";14;8;15;37
"500330 Coxim";24;55;36;115
"500345 Deodápolis";6;1;5;12
"500348 Dois Irmãos do Buriti";31;20;33;84
"500350 Douradina";1;1;3;5
"500370 Dourados";101;101;116;318
"500375 Eldorado";7;4;9;20
"500380 Fátima do Sul";46;38;43;127
"500390 Figueirão";-;1;1;2
"500400 Glória de Dourados";13;16;16;45
"500410 Guia Lopes da Laguna";21;28;46;95
"500430 Iguatemi";33;49;50;132
"500440 Inocência";1;-;3;4
"500450 Itaporã";17;9;13;39
"500460 Itaquiraí";28;29;28;85
"500470 Ivinhema";21;12;28;61
"500480 Japorã";8;8;15;31
"500490 Jaraguari";-;1;1;2
"500500 Jardim";59;52;59;170
"500510 Jateí";7;5;6;18
"500515 Juti";11;2;6;19
"500520 Ladário";19;15;13;47
"500525 Laguna Carapã";7;2;1;10
"500540 Maracaju";26;33;43;102
"500560 Miranda";36;36;24;96
"500568 Mundo Novo";27;24;29;80
"500570 Naviraí";22;17;11;50
"500580 Nioaque";16;1;5;22
"500600 Nova Alvorada do Sul";5;9;7;21
"500620 Nova Andradina";22;25;33;80
"500625 Novo Horizonte do Sul";14;7;5;26
"500630 Paranaíba";51;35;23;109
"500635 Paranhos";10;4;7;21
"500640 Pedro Gomes";4;7;6;17
"500660 Ponta Porã";30;34;67;131
"500690 Porto Murtinho";5;19;6;30
"500710 Ribas do Rio Pardo";6;4;5;15
"500720 Rio Brilhante";44;27;32;103
"500730 Rio Negro";16;9;7;32
"500740 Rio Verde de Mato Grosso";2;5;6;13
"500750 Rochedo";-;-;1;1
"500755 Santa Rita do Pardo";8;7;4;19
"500769 São Gabriel do Oeste";10;15;2;27
"500780 Selvíria";-;-;2;2
"500770 Sete Quedas";15;17;31;63
"500790 Sidrolândia";14;16;22;52
"500793 Sonora";14;20;28;62
"500795 Tacuru";5;9;4;18
"500797 Taquarussu";6;2;5;13
"500800 Terenos";4;2;5;11
"500830 Três Lagoas";32;24;27;83
"500840 Vicentina";15;9;24;48
"510010 Acorizal";5;2;2;9
"510020 Água Boa";8;15;15;38
"510025 Alta Floresta";41;41;30;112
"510030 Alto Araguaia";19;13;9;41
"510035 Alto Boa Vista";8;9;6;23
"510040 Alto Garças";1;-;3;4
"510050 Alto Paraguai";7;9;5;21
"510060 Alto Taquari";3;9;4;16
"510080 Apiacás";17;10;13;40
"510100 Araguaiana";-;1;-;1
"510120 Araguainha";-;1;-;1
"510125 Araputanga";3;2;6;11
"510130 Arenápolis";5;8;4;17
"510140 Aripuanã";19;30;22;71
"510160 Barão de Melgaço";1;3;-;4
"510170 Barra do Bugres";38;42;30;110
"510180 Barra do Garças";29;38;34;101
"510185 Bom Jesus do Araguaia";3;4;3;10
"510190 Brasnorte";29;21;35;85
"510250 Cáceres";58;51;48;157
"510260 Campinápolis";19;11;13;43
"510263 Campo Novo do Parecis";7;12;13;32
"510267 Campo Verde";9;16;7;32
"510268 Campos de Júlio";-;-;1;1
"510270 Canarana";6;3;8;17
"510279 Carlinda";16;8;1;25
"510285 Castanheira";-;1;-;1
"510300 Chapada dos Guimarães";10;20;7;37
"510305 Cláudia";3;5;5;13
"510310 Cocalinho";7;7;3;17
"510320 Colíder";26;23;20;69
"510325 Colniza";21;6;1;28
"510330 Comodoro";30;25;22;77
"510335 Confresa";24;25;22;71
"510336 Conquista D'Oeste";-;1;1;2
"510337 Cotriguaçu";10;3;5;18
"510340 Cuiabá";434;241;213;888
"510343 Curvelândia";1;2;2;5
"510345 Denise";20;34;13;67
"510350 Diamantino";33;25;27;85
"510360 Dom Aquino";15;6;9;30
"510370 Feliz Natal";1;5;-;6
"510380 Figueirópolis D'Oeste";-;-;1;1
"510385 Gaúcha do Norte";2;-;2;4
"510390 General Carneiro";22;15;10;47
"510395 Glória D'Oeste";1;2;1;4
"510410 Guarantã do Norte";16;17;21;54
"510420 Guiratinga";62;30;21;113
"510450 Indiavaí";1;2;-;3
"510452 Ipiranga do Norte";1;-;2;3
"510454 Itanhangá";-;3;4;7
"510455 Itaúba";-;1;3;4
"510460 Itiquira";10;13;8;31
"510480 Jaciara";45;44;32;121
"510490 Jangada";1;-;1;2
"510500 Jauru";3;6;4;13
"510510 Juara";27;25;13;65
"510515 Juína";15;10;13;38
"510517 Juruena";7;13;3;23
"510520 Juscimeira";23;16;23;62
"510523 Lambari D'Oeste";3;-;3;6
"510525 Lucas do Rio Verde";36;23;23;82
"510530 Luciara";8;8;3;19
"510558 Marcelândia";21;25;21;67
"510560 Matupá";14;13;14;41
"510562 Mirassol d'Oeste";33;36;27;96
"510590 Nobres";52;46;39;137
"510600 Nortelândia";8;4;5;17
"510610 Nossa Senhora do Livramento";13;5;8;26
"510615 Nova Bandeirantes";2;5;8;15
"510620 Nova Brasilândia";-;1;1;2
"510621 Nova Canaã do Norte";-;-;5;5
"510880 Nova Guarita";2;1;2;5
"510618 Nova Lacerda";-;1;2;3
"510885 Nova Marilândia";2;2;-;4
"510890 Nova Maringá";1;2;-;3
"510895 Nova Monte Verde";2;4;2;8
"510622 Nova Mutum";17;23;17;57
"510617 Nova Nazaré";4;5;4;13
"510623 Nova Olímpia";27;34;30;91
"510619 Nova Santa Helena";3;4;4;11
"510624 Nova Ubiratã";1;3;1;5
"510625 Nova Xavantina";32;50;49;131
"510627 Novo Horizonte do Norte";7;9;7;23
"510626 Novo Mundo";6;1;5;12
"510631 Novo Santo Antônio";-;-;1;1
"510628 Novo São Joaquim";5;7;5;17
"510629 Paranaíta";26;8;13;47
"510630 Paranatinga";23;5;11;39
"510637 Pedra Preta";23;29;19;71
"510642 Peixoto de Azevedo";32;29;19;80
"510650 Poconé";61;40;45;146
"510665 Pontal do Araguaia";2;1;-;3
"510670 Ponte Branca";1;-;2;3
"510675 Pontes e Lacerda";35;35;44;114
"510677 Porto Alegre do Norte";-;7;1;8
"510680 Porto dos Gaúchos";5;4;1;10
"510682 Porto Esperidião";3;3;3;9
"510685 Porto Estrela";-;2;-;2
"510700 Poxoréo";27;14;21;62
"510704 Primavera do Leste";41;13;19;73
"510706 Querência";21;21;19;61
"510715 Reserva do Cabaçal";2;1;1;4
"510718 Ribeirão Cascalheira";12;11;17;40
"510719 Ribeirãozinho";7;3;5;15
"510720 Rio Branco";3;14;14;31
"510757 Rondolândia";3;2;3;8
"510760 Rondonópolis";191;179;256;626
"510770 Rosário Oeste";6;50;37;93
"510775 Salto do Céu";3;2;2;7
"510724 Santa Carmem";-;2;-;2
"510774 Santa Cruz do Xingu";-;-;2;2
"510776 Santa Rita do Trivelato";-;-;2;2
"510777 Santa Terezinha";4;3;9;16
"510726 Santo Afonso";2;1;-;3
"510780 Santo Antônio do Leverger";11;8;4;23
"510785 São Félix do Araguaia";38;28;34;100
"510729 São José do Povo";-;1;1;2
"510730 São José do Rio Claro";10;19;11;40
"510735 São José do Xingu";4;1;2;7
"510710 São José dos Quatro Marcos";1;7;6;14
"510740 São Pedro da Cipa";2;4;6;12
"510787 Sapezal";10;13;12;35
"510788 Serra Nova Dourada";2;1;2;5
"510790 Sinop";46;27;44;117
"510792 Sorriso";24;21;17;62
"510794 Tabaporã";4;14;3;21
"510795 Tangará da Serra";52;62;74;188
"510800 Tapurah";13;11;10;34
"510805 Terra Nova do Norte";30;20;19;69
"510810 Tesouro";8;9;11;28
"510820 Torixoréu";10;11;10;31
"510830 União do Sul";1;2;1;4
"510835 Vale de São Domingos";2;3;-;5
"510840 Várzea Grande";143;164;137;444
"510850 Vera";3;6;5;14
"510550 Vila Bela da Santíssima Trindade";1;1;5;7
"510860 Vila Rica";17;4;3;24
"520005 Abadia de Goiás";5;7;1;13
"520010 Abadiânia";7;7;3;17
"520013 Acreúna";17;16;23;56
"520015 Adelândia";-;-;1;1
"520017 Água Fria de Goiás";1;1;1;3
"520020 Água Limpa";-;2;4;6
"520025 Águas Lindas de Goiás";44;68;89;201
"520030 Alexânia";54;50;33;137
"520050 Aloândia";3;-;1;4
"520060 Alto Paraíso de Goiás";5;-;-;5
"520080 Alvorada do Norte";-;1;2;3
"520085 Americano do Brasil";16;-;8;24
"520090 Amorinópolis";5;1;7;13
"520110 Anápolis";208;162;172;542
"520120 Anhanguera";1;1;-;2
"520130 Anicuns";14;5;4;23
"520140 Aparecida de Goiânia";161;136;133;430
"520145 Aparecida do Rio Doce";2;-;-;2
"520150 Aporé";5;3;7;15
"520160 Araçu";3;3;3;9
"520170 Aragarças";9;12;10;31
"520180 Aragoiânia";9;11;13;33
"520215 Araguapaz";16;3;4;23
"520235 Arenópolis";4;3;5;12
"520250 Aruanã";3;3;4;10
"520260 Aurilândia";3;2;1;6
"520280 Avelinópolis";2;3;-;5
"520310 Baliza";3;5;5;13
"520320 Barro Alto";4;7;16;27
"520330 Bela Vista de Goiás";16;9;15;40
"520340 Bom Jardim de Goiás";15;10;8;33
"520350 Bom Jesus de Goiás";22;23;68;113
"520355 Bonfinópolis";1;3;4;8
"520357 Bonópolis";1;1;1;3
"520360 Brazabrantes";3;1;2;6
"520380 Britânia";3;13;9;25
"520390 Buriti Alegre";21;29;29;79
"520393 Buriti de Goiás";1;4;6;11
"520396 Buritinópolis";-;-;1;1
"520400 Cabeceiras";1;3;-;4
"520410 Cachoeira Alta";13;3;4;20
"520420 Cachoeira de Goiás";-;2;1;3
"520425 Cachoeira Dourada";6;7;11;24
"520430 Caçu";5;7;9;21
"520440 Caiapônia";34;27;25;86
"520450 Caldas Novas";28;37;34;99
"520455 Caldazinha";3;5;2;10
"520460 Campestre de Goiás";4;5;2;11
"520465 Campinaçu";1;-;2;3
"520470 Campinorte";6;15;13;34
"520480 Campo Alegre de Goiás";1;2;1;4
"520485 Campo Limpo de Goiás";4;3;5;12
"520490 Campos Belos";9;5;4;18
"520495 Campos Verdes";9;3;-;12
"520500 Carmo do Rio Verde";7;7;1;15
"520505 Castelândia";3;3;2;8
"520510 Catalão";67;37;34;138
"520520 Caturaí";3;12;10;25
"520530 Cavalcante";3;6;6;15
"520540 Ceres";12;12;11;35
"520545 Cezarina";1;2;5;8
"520547 Chapadão do Céu";7;5;3;15
"520549 Cidade Ocidental";10;14;24;48
"520551 Cocalzinho de Goiás";8;13;4;25
"520552 Colinas do Sul";-;-;6;6
"520570 Córrego do Ouro";4;5;5;14
"520580 Corumbá de Goiás";6;4;3;13
"520590 Corumbaíba";8;11;4;23
"520620 Cristalina";32;26;20;78
"520630 Cristianópolis";2;1;3;6
"520640 Crixás";24;25;4;53
"520650 Cromínia";4;3;2;9
"520660 Cumari";1;1;2;4
"520670 Damianópolis";4;3;3;10
"520680 Damolândia";2;-;7;9
"520690 Davinópolis";-;1;1;2
"520710 Diorama";2;1;-;3
"520830 Divinópolis de Goiás";7;2;4;13
"520725 Doverlândia";12;8;2;22
"520735 Edealina";-;1;-;1
"520740 Edéia";16;6;5;27
"520750 Estrela do Norte";10;19;8;37
"520753 Faina";-;5;2;7
"520760 Fazenda Nova";-;7;3;10
"520780 Firminópolis";49;32;29;110
"520790 Flores de Goiás";5;4;2;11
"520800 Formosa";39;45;110;194
"520810 Formoso";-;1;18;19
"520815 Gameleira de Goiás";-;2;1;3
"520840 Goianápolis";9;11;14;34
"520850 Goiandira";4;2;4;10
"520860 Goianésia";107;125;120;352
"520870 Goiânia";497;378;379;1254
"520880 Goianira";110;32;8;150
"520890 Goiás";33;32;30;95
"520910 Goiatuba";37;22;25;84
"520915 Gouvelândia";2;1;-;3
"520920 Guapó";6;4;4;14
"520929 Guaraíta";3;-;1;4
"520940 Guarani de Goiás";1;2;-;3
"520945 Guarinos";1;2;1;4
"520970 Hidrolândia";6;5;8;19
"520980 Hidrolina";-;2;1;3
"520990 Iaciara";15;23;11;49
"520993 Inaciolândia";2;1;-;3
"520995 Indiara";4;10;10;24
"521000 Inhumas";50;21;61;132
"521010 Ipameri";10;14;6;30
"521015 Ipiranga de Goiás";2;-;2;4
"521020 Iporá";29;15;22;66
"521040 Itaberaí";12;12;9;33
"521056 Itaguari";1;2;1;4
"521060 Itaguaru";4;6;3;13
"521080 Itajá";-;1;3;4
"521090 Itapaci";103;104;94;301
"521100 Itapirapuã";2;9;6;17
"521120 Itapuranga";35;47;34;116
"521130 Itarumã";8;3;6;17
"521140 Itauçu";38;25;23;86
"521150 Itumbiara";93;68;145;306
"521160 Ivolândia";5;-;8;13
"521170 Jandaia";6;27;19;52
"521180 Jaraguá";50;49;43;142
"521190 Jataí";73;54;53;180
"521200 Jaupaci";1;2;-;3
"521205 Jesúpolis";2;1;2;5
"521210 Joviânia";7;3;18;28
"521220 Jussara";22;19;26;67
"521225 Lagoa Santa";-;1;-;1
"521230 Leopoldo de Bulhões";14;2;2;18
"521250 Luziânia";40;63;67;170
"521260 Mairipotaba";-;1;2;3
"521270 Mambaí";18;10;4;32
"521280 Mara Rosa";2;1;-;3
"521290 Marzagão";1;-;4;5
"521295 Matrinchã";5;5;8;18
"521300 Maurilândia";4;5;7;16
"521305 Mimoso de Goiás";2;1;-;3
"521308 Minaçu";9;9;14;32
"521310 Mineiros";97;74;35;206
"521340 Moiporá";1;-;-;1
"521350 Monte Alegre de Goiás";5;2;6;13
"521370 Montes Claros de Goiás";11;9;12;32
"521375 Montividiu";11;5;3;19
"521377 Montividiu do Norte";1;-;4;5
"521380 Morrinhos";42;69;75;186
"521385 Morro Agudo de Goiás";2;4;2;8
"521390 Mossâmedes";12;16;11;39
"521400 Mozarlândia";31;18;34;83
"521405 Mundo Novo";4;6;2;12
"521410 Mutunópolis";4;3;5;12
"521440 Nazário";11;5;4;20
"521450 Nerópolis";32;37;35;104
"521460 Niquelândia";37;22;32;91
"521470 Nova América";1;2;1;4
"521480 Nova Aurora";3;-;2;5
"521483 Nova Crixás";34;21;29;84
"521486 Nova Glória";4;2;2;8
"521487 Nova Iguaçu de Goiás";1;-;1;2
"521490 Nova Roma";1;-;-;1
"521500 Nova Veneza";2;-;1;3
"521520 Novo Brasil";2;2;12;16
"521523 Novo Gama";43;26;43;112
"521525 Novo Planalto";1;3;1;5
"521530 Orizona";35;31;36;102
"521540 Ouro Verde de Goiás";-;2;-;2
"521550 Ouvidor";3;2;3;8
"521560 Padre Bernardo";9;14;16;39
"521565 Palestina de Goiás";1;4;4;9
"521570 Palmeiras de Goiás";3;2;1;6
"521580 Palmelo";2;6;2;10
"521590 Palminópolis";-;2;2;4
"521600 Panamá";1;1;-;2
"521630 Paranaiguara";12;3;3;18
"521640 Paraúna";9;4;20;33
"521645 Perolândia";1;4;3;8
"521680 Petrolina de Goiás";25;32;31;88
"521690 Pilar de Goiás";2;1;-;3
"521710 Piracanjuba";40;39;35;114
"521720 Piranhas";26;12;6;44
"521730 Pirenópolis";56;52;44;152
"521740 Pires do Rio";32;42;15;89
"521760 Planaltina";30;40;47;117
"521770 Pontalina";7;11;52;70
"521800 Porangatu";45;33;18;96
"521805 Porteirão";1;-;-;1
"521810 Portelândia";5;2;1;8
"521830 Posse";37;34;53;124
"521839 Professor Jamil";1;2;2;5
"521850 Quirinópolis";29;21;30;80
"521860 Rialma";19;7;9;35
"521870 Rianápolis";2;-;3;5
"521878 Rio Quente";-;2;-;2
"521880 Rio Verde";81;75;68;224
"521890 Rubiataba";45;23;13;81
"521900 Sanclerlândia";9;6;11;26
"521910 Santa Bárbara de Goiás";-;8;13;21
"521920 Santa Cruz de Goiás";5;7;6;18
"521925 Santa Fé de Goiás";1;7;3;11
"521930 Santa Helena de Goiás";37;51;46;134
"521935 Santa Isabel";-;1;1;2
"521940 Santa Rita do Araguaia";3;3;-;6
"521945 Santa Rita do Novo Destino";3;-;1;4
"521950 Santa Rosa de Goiás";6;7;3;16
"521960 Santa Tereza de Goiás";4;5;2;11
"521970 Santa Terezinha de Goiás";26;9;5;40
"521971 Santo Antônio da Barra";1;1;-;2
"521973 Santo Antônio de Goiás";1;2;2;5
"521975 Santo Antônio do Descoberto";50;20;37;107
"521980 São Domingos";2;2;-;4
"521990 São Francisco de Goiás";3;1;2;6
"522000 São João d'Aliança";5;1;6;12
"522005 São João da Paraúna";8;1;1;10
"522010 São Luís de Montes Belos";41;29;27;97
"522015 São Luíz do Norte";1;2;-;3
"522020 São Miguel do Araguaia";41;32;19;92
"522026 São Miguel do Passa Quatro";1;2;3;6
"522028 São Patrício";3;-;2;5
"522040 São Simão";18;13;6;37
"522045 Senador Canedo";107;79;59;245
"522050 Serranópolis";7;11;8;26
"522060 Silvânia";32;16;12;60
"522068 Simolândia";5;7;4;16
"522070 Sítio d'Abadia";-;1;-;1
"522100 Taquaral de Goiás";-;-;5;5
"522108 Teresina de Goiás";-;-;2;2
"522119 Terezópolis de Goiás";1;3;2;6
"522130 Três Ranchos";2;-;-;2
"522140 Trindade";82;61;54;197
"522145 Trombas";10;11;7;28
"522150 Turvânia";4;12;6;22
"522155 Turvelândia";3;4;-;7
"522160 Uruaçu";35;42;26;103
"522170 Uruana";66;62;5;133
"522180 Urutaí";-;2;1;3
"522185 Valparaíso de Goiás";23;24;35;82
"522190 Varjão";1;-;1;2
"522200 Vianópolis";27;15;33;75
"522205 Vicentinópolis";3;1;6;10
"522220 Vila Boa";2;2;2;6
"522230 Vila Propício";1;2;4;7
"530010 Brasília";1444;1530;1461;4435
